UNIVERSITY,COUNTRY,CITATIONS
Yokohama National University,Japan,98033
Universidade de Brasília UNB,Brazil,97823
Zhengzhou University,China,97573
Ankara University,Turkey,97445
University of Windsor,Canada,96795
University of Split,Croatia,96768
Xidian University,China,96623
Universidade Federal de São Paulo UNIFESP,Brazil,96327
(1) Mines ParisTech École des Mines de Paris (comUE Université Paris PSL),France,96299
Universidad Nacional de Colombia,Colombia,96206
Tomsk Polytechnic University,Russia,96058
Université de Bourgogne,France,96040
(1) Indian Institute of Technology Delhi,India,95853
Universidade Federal do Rio Grande do Norte,Brazil,94756
Clark University,United States of America,94737
Ohio University,United States of America,94301
Liverpool John Moores University,United Kingdom,94275
Michigan Technological University,United States of America,93279
Suffolk University,United States of America,93187
Kindai University (Kinki University),Japan,93103
Teachers College at Columbia University,United States of America,93085
Institute of Sciaence and Technology IST Austria,Austria,93049
King Saud University,Saudi Arabia,92718
CUNY Queens College,United States of America,92529
Depaul University,United States of America,92233
Sciences Po Institut d'Études Politiques de Paris (comUE Université Sorbonne Paris Cité),France,92105
Aberystwyth University,United Kingdom,91885
Universität Regensburg,Germany,91548
California Polytechnic State University Cal Poly,United States of America,91501
Hasselt University,Belgium,91339
Dublin City University,Ireland,91052
Université de Mons (Université de Mons-Hainaut),Belgium,90982
Université de Paris 13,France,90822
(3) University of Minnesota Duluth,United States of America,90804
Chimie ParisTech,France,90662
Abo Akademi University,Finland,90189
Lakehead University,Canada,90142
Universität Saint Gallen,Switzerland,89834
Université d'Angers,France,89822
Wuhan University of Technology,China,89145
Shahid Beheshti University of Medical Sciences,Iran,89009
(3) Manchester Business School,United Kingdom,88787
University of Ljubljana,Slovenia,88483
University of Wolverhampton,United Kingdom,88357
Politecnico di Torino,Italy,88280
Universidade Federal de Santa Catarina UFSC,Brazil,88221
Villanova University,United States of America,88176
Quaid-i-Azam University Islamabad,Pakistan,88039
Lulea University of Technology,Sweden,87790
Kumoh National Institute of Technology,South Korea,87785
Universität fur Bodenkultur Wien,Austria,87708
Czech Technical University in Prague,Czech Republic,87064
University of Missouri Saint Louis,United States of America,87026
University of Pécs,Hungary,86944
Santa Clara University,United States of America,86839
Universität Siegen,Germany,86830
Tampere University of Technology,Finland,86581
Universidade Federal de Pernambuco,Brazil,86522
Doshisha University,Japan,86375
Martin Luther Universität Halle Wittenberg,Germany,86331
VIT University (Vellore Institute of Technology),India,86329
Hacettepe University,Turkey,86282
Mississippi State University,United States of America,85908
Tata Institute of Fundamental Research,India,85895
National Institute of Technology Rourkela,India,85740
Aligarh Muslim University,India,85664
University of Delhi,India,85631
University of Jordan,Jordan,85504
Sharda University,India,85493
COMSATS Institute of Information Technology Islamabad,Pakistan,85493
CUNY Baruch College,United States of America,85367
Texas A&M University Galveston,United States of America,85048
Nottingham Trent University,United Kingdom,84875
Universidad Nacional de Educación a Distancia UNED,Spain,84837
Pontificia Universidad Javeriana,Colombia,84798
Pontificia Universidade Católica do Rio Grande do Sul PUCRS,Brazil,84596
Universidad de Concepción,Chile,84487
Near East University,,84424
Institut National des Sciences Appliquées de Lyon,France,84406
Manchester Metropolitan University,United Kingdom,84264
University of Tokushima,Japan,84244
Northwestern Polytechnical University,China,84150
Universität Rostock,Germany,83780
(3) Rotterdam School of Management RSM Erasmus University,Netherlands,83546
Istituto Dalle Molle di Studi sull'Intelligenza Artificiale,Switzerland,83498
Universidad de Alcalá,Spain,83414
University of Hertfordshire,United Kingdom,83349
Fordham University,United States of America,83174
Institute of Chemical Technology,India,83150
Chungnam National University,South Korea,83102
Niigata University,Japan,83070
University of Salford,United Kingdom,83039
Medizinische Universität Graz,Austria,82716
Harokopio University of Athens,Greece,82709
Indian Institute of Technology Roorkee,India,82697
Hamamatsu University School of Medicine,Japan,82540
Università del Salento (Università degli Studi di Lecce),Italy,82442
Central European University Budapest,United States of America,82176
Teesside University,United Kingdom,82070
Hanken School of Economics,Finland,81992
Universidade Federal da Bahia,Brazil,81912
Creighton University,United States of America,81902
Universität Hohenheim,Germany,81901
Nicolaus Copernicus University,Poland,81869
Università degli Studi di Camerino,Italy,81807
Boise State University,United States of America,81706
Université de Neuchâtel,Switzerland,81642
Jagiellonian University,Poland,81528
Institut National des Sciences Appliquées de Toulouse,France,81472
Okinawa Institute of Science & Technology Graduate University,Japan,81460
Toyota Technological Institute Chicago,United States of America,81409
Pontificia Universidade Católica de São Paulo PUC-SP,Brazil,81362
Universidade Estadual de Maringá,Brazil,81134
(1) Korea Advanced Institute of Science & Technology KAIST,South Korea,80619
Tarbiat Modares University,Iran,80423
Università degli Studi di Sassari,Italy,80404
Observatoire de Paris,France,80384
Hallym University,South Korea,80082
Huaqiao University,China,79873
Erciyes University,Turkey,79849
Cleveland State University,United States of America,79748
Daegu Gyeongbuk Institute of Science & Technology,South Korea,79612
Federation University Australia,Australia,79387
Hohai University,China,79379
Williams College,United States of America,79283
Loma Linda University,United States of America,79104
Nanjing University of Science & Technology,China,78866
Universidad de Las Palmas de Gran Canaria,Spain,78807
Naval Postgraduate School,United States of America,78758
Chulalongkorn University,Thailand,78377
Integral University,India,78091
Qatar University,Qatar,78038
Leuphana Universität Lüneburg,Germany,77888
National Yang Ming University,Taiwan,77794
(1) Jamia Hamdard,India,77569
Middlesex University,United Kingdom,77286
(1) Chonbuk National University (Iksan National College),South Korea,77264
Texas Christian University,United States of America,77232
Wright State University,United States of America,77015
Appalachian State University,United States of America,76994
